brand
"Amal 150mg Injection"
"Azither 150mg Injection"
"Atcef 1000mg Injection"
"Admycin L 300mg Injection"
"Alpha-Radiant Junior Injection"
"Amalgard 20mg Injection"
"Aerodol 4mg Injection"
"Alphamix OD 1000mcg Injection"
"Axitan 2mg Injection"
"Amican 250mg Injection"
"Azaxone 500mg Injection"
"Adben 100mg Injection"
"Amikem 500mg Injection"
"AMI 100mg Injection"
"Amikafine 500mg Injection"
"Asginase 10000IU Injection"
"Augnex 250mg/50mg Injection"
"Aclina 600mg Injection"
"Atrabloc 25 Injection"
"Ampurin 500mg Injection"
"Augclav 500 mg/100 mg Injection"
"Ampilox C Paed 125 mg/125 mg Injection"
"Abingem 200mg Injection"
"Ancel 500mg Injection"
"Afm 150mg Injection"
"Ami Tel 50mg Injection"
"Axonit S 1000mg/500mg Injection"
"Adzovit 12 Combipack Injection"
"Allbact XP 1.5gm Injection"
"Albolin 50mg Injection"
"AZIPEP 4000MG/500MG INJECTION"
"Artifer 60mg Injection"
"Azy 1000mg Injection"
"Atcurium 25mg Injection"
"Anum 100mg Injection"
"Alezone S 250mg/125mg Injection"
"Angidec 50mg Injection"
"Astraparin 60mg Injection"
"Amphocrit 50mg Injection"
"Amcil T 250mg Injection"
"Aldodec 50mg Injection"
"Amiron 100mg Injection"
"Amikatil 100mg Injection"
"Astrac 250 Injection"
"Angimin 1500mcg Injection"
"Agyvit Plus Injection"
"Atnuron 500mcg Injection"
"Apronin 500000IU Injection"
"Alimta 100mg Injection"
"Asunate 60mg Injection"
"Arinur Forte 1500mcg Injection"
"Amikon 500mg Injection"
"Amiway 500mg Injection"
"Alrubicin 50mg Injection"
"Altaxel Nova 260mg Injection"
"Amipic 250mg Injection"
"Aminemeg 100mg Injection"
"Admero 250mg Injection"
"Amineg 500mg Injection"
"Acort 40mg Injection"
"ANEKET 50 MG INJECTION"
"Ampirok 500 mg/250 mg Injection"
"Arcef S 500mg/500mg Injection"
"Acirab 20mg Injection"
"Abnerv 1500mcg Injection"
"Aszone 1.5gm Injection"
"Actopan 40mg Injection"
"Alrubicin 150mg Injection"
"Acetine 1000mg Injection"
"AC-Clav 1.2 Injection"
"Alphasan-Plus Injection"
"Axifer 100mg Injection"
"Artifer 120mg Injection"
"Avelpin 250mg Injection"
"Adlerab 20mg Injection"
"Arh 120mg Injection"
"Aspan 40mg Injection"
"Avitrax S 1000 mg/500 mg Injection"
"Arteo 75mg Injection"
"Actovis Plus 1500mcg Injection"
"Atcef SB 1000mg/500mg Injection"
"Arzone SB 1000mg/500mg Injection"
"Advance Injection"
"Abra Bound Suspension for Injection"
"Audibion Plus Injection"
"Andulanaac 50 Injection"
"Augtaz Kid Injection"
"Amikin 500mg Injection"
"Axonrich Gold Injection"
"Art 120 Injection"
"Alldase 1500IU Injection"
"Aizen Life 20% Injection"
"Actaz BM 1000 mg/125 mg Injection"
"Aminat 250mg Injection"
"Arther 150mg Injection"
"Aciclofit 500 Injection"
"Alphadec 50mg Injection"
"Aqumer 0.5G Injection"
"Amoclave 1000mg/200mg Injection"
"Aconred 5 Injection"
"Aspenem 500mg Injection"
"Avi 40mg Injection"
"Amycobal 500mcg Injection"
"Amister 500mg Injection"
"Amid 100mg Injection"
"Abdopime 250mg Injection"
"Aequimentin 1000mg/200mg Injection"
"Azinox 500mg Injection"
"Axtrum S 1000mg/500mg Injection"
"Aphac CS 500mg/500mg Injection"
"Acostin Forte 2MIU Injection"
"Artibest 60mg Injection"
"Alstat 250mg Injection"
"Artimal 150mg Injection"
"Azactum 1gm Injection"
"Arduan Injection"
"Atrapar 0.6mg Injection"
"Acutaz 4000mg/500mg Injection"
"Amicus 100mg Injection"
"Artivil 120mg Injection"
"Aneudox M Injection"
"Amizen 250mg Injection"
"Abinem 1000mg Injection"
"Adrisome 20mg Injection"
"Asponet 70 Injection"
"Acrovin 100mg Injection"
"Adaly Injection"
"Alizole Injection"
"Amika M 250mg Injection"
"Artiset 60mg Injection"
"Azed MV Injection"
"Amcil A 250mg Injection"
"Atdim TZ 1000mg/125mg Injection"
"Aprostat 500000IU Injection"
"Avibact 1000mg Injection"
"Aerocef-TZ 500mg Injection"
"Amitrust 250mg Injection"
"Adocef 2gm Injection"
"Awin 1000mg/200mg Injection"
"Alitop 40mg Injection"
"Aquacin 500mg Injection"
"Ameza 500mg Injection"
"Aelcob 1500mcg Injection"
"Arasid 1000mg Injection"
"Amicid 100mg Injection"
"Atrager 25mg/ml Injection"
"Agopride Injection"
"Avacan Injection"
"Alco-Plus Injection"
"Amisurge 500 Injection"
"Astimyth Plus Injection"
"Anamid 25mg Injection"
"Alidec 50 Injection"
"Antiflam AQ 75mg Injection"
"Alnerve 500mcg Injection"
"Akizone-S Injection"
"Acris 10mg/ml Injection"
"Ampilox 100 mg/25 mg Injection"
"Azactum 2gm Injection"
"Apregen 150mg Injection"
"Aminak Injection"
"Allvir 250mg Injection"
"Arasid 500mg Injection"
"Alinfec 100mg Injection"
"Aprotin 500000IU Injection"
"Amikanit 500mg Injection"
"Avizone S 1000mg/500mg Injection"
"Abogest 500mg Injection"
"Alphamix 500mcg Injection"
"Atcef-SB 250mg/125mg Injection"
